id	text	metadata	region_main_id	region_main	region_sub_id	region_sub	date_str	date_min	date_max	date_circa
223341	τοπος. ---σρατικε.	Eg. — Touphion (Tōd) — Byzantine period — BIFAO 50 (1950) 93, inv. 2437	1695	Egypt, Nubia and Cyrenaïca	1694	Egypt and Nubia	 Byzantine period 	330.0	1453.0	0.0
7422	δημητρος αχ[αιας].	Att. — aet. imp.	1701	Attica (IG I-III)	1700	Attica	 aet. imp.	-27.0	284.0	0.0
42983	μια επι ικατι πο εσπερας.	Aitolia — Kalydon — 600-575? BC	1698	Central Greece (IG VII-IX)	1659	Phokis, Lokris, Aitolia, Akarnania, and Ionian Islands (IG IX,1) 	 600-575? BC	-600.0	-575.0	1.0
140662	0[--]ναιονδεπικιλ[--] γ[--]ουσαπαντοσκι[--].	Sikelia — Halaisa (S. Maria delle Palate) — Byzantine period?	1696	Sicily, Italy, and the West (IG XIV)	1686	Sicily, Sardinia, and neighboring Islands	 Byzantine period?	330.0	1453.0	1.0
328200	αγωνοθετουντος αντιφιλου [του] ---οκκους οιδε ενικων τα ηρακλει[α] [σα]λπιστας [-------------].	Boiotia — Thebai — Pyri — 2nd/1st c. BC (after 172 BC?) — ZPE 17 (1975) 3-4	1698	Central Greece (IG VII-IX)	1691	Megaris, Oropia, and Boiotia (IG VII) 	 2nd/1st c. BC (after 172 BC?) 	-200.0	-1.0	0.0
291295	αισχυλις. σιμον.	Att. — Athens — 5th/4th c. BC	1701	Attica (IG I-III)	1700	Attica	 5th/4th c. BC	-500.0	-301.0	0.0
43445	ξενιας ιωνος.	Akarnania — Prov. unkn. — 3rd c. BC	1698	Central Greece (IG VII-IX)	1659	Phokis, Lokris, Aitolia, Akarnania, and Ionian Islands (IG IX,1) 	 3rd c. BC	-300.0	-201.0	0.0
223427	κομανε χρηστε χαιρε ως ετων εξηκοντα ετους εκτου.	Eg. — Cairo, Coll. Nahman — 2nd/1st c. BC? — BIFAO 65 (1967) 40, II	1695	Egypt, Nubia and Cyrenaïca	1694	Egypt and Nubia	 2nd/1st c. BC? 	-200.0	-1.0	1.0
168688	[αγαθηι] τ[υ]χηι. [ιουλιαν δομναν θεαν σεβαστην μη]τερα καστρων αυτοκρατορος λουκιου σεπτιμιου σευηρου περτινακος σεβας [του ευσεβους παρθικου βρεταννικο]υ αραβικου αδιαβηνικου αρχιερεως μεγιστου δημαρχικης εξουσιας το [αυτοκρατορος το - υπατου το - πατρ]ος πατριδος γυναικα και αυτοκρατορος καισαρος μαρκου αυρηλιου αντωνεινου σεβαστου [ευσεβους παρθικου βρεταννικου] μητερα υπατευοντος της επαρχειας φλαβιου ουλπιανου πρες βευτου σε β βαστων αντιστρα[τηγου η ιερωτατη βουλη και ο] κρατιστος δημος ουλπιας νεικοπολεος ανεστησε.	Nicopolis ad Istrum (Nikyup) — 209-212 AD	1697	Thrace and the Lower Danube (IG X)	1687	Thrace and Moesia Inferior 	 209-212 AD	209.0	212.0	0.0
150317	κοιντα αλεξανδρω τω γλυκυτατω ανδρει μνιας χαριν.	Makedonia (Bottiaia) — Edessa — 3rd c. AD [Tataki, Ed. Pr. 169]	1692	Northern Greece (IG X)	1485	Macedonia 	 3rd c. AD [Tataki, Ed. Pr. 169]	201.0	300.0	0.0
337320	[--]οισ πασιν [--]0 πασαις [-- α]κιλια ιουλιανη [--] κλαυδιος [θε]οις πασιν [κα]ι πασαις.	Italia — Roma — S. Callisto catacombs — Rom. Imp. period — ICUR n.s. I 4007 — RAC 78 (2002) 261-264 — A. Chaniotis, SEG, for ll. 1-2	1696	Sicily, Italy, and the West (IG XIV)	1689	Italy, incl. Magna Graecia	 Rom. Imp. period 	-27.0	284.0	0.0
321542	εισιν εν τη αψιδι κρηπιδες εξ διαφερουσαι αιδεσιω.	Pal. — Beth She‘arim — 3rd/4th c. AD — IEJ 4 (1954) 249-261	1693	Greater Syria and the East	1657	Palaestina	 3rd/4th c. AD 	201.0	400.0	0.0
192042	βακχις σικυωνια χρηστα χαιρε.	Rhodos Isl. — Rhodos — 2nd c. BC	1699	Aegean Islands, incl. Crete (IG XI-[XIII])	1627	Rhodes and S. Dodecanese (IG XII,1) 	 2nd c. BC	-200.0	-101.0	0.0
184620	αγαθηι τυχηι. δημοκρατην αριστογενους προεδρον [μεν εισηγη]σαμενον ενδοξως [και δημηγ]ορησαντα δις δ α[ρξαντα την] [λαμπρο]τατην α[ρχην και πλεονακις] πρεσβευ[σ]αν[τα παρα τους] [σεβα]στους προικα υπερ τω[ν συμφεροντ]ων της πατριδος και τε[ιμηθε]ντα υπο της πολεως αιδιω[ι] [αναγ]ορευσει θιασαρχησαν[τα και] [πασ]αν λειτουργιαν τελεσαν[τα] [πολ]ειτευσαμενον εν πασιν αγνως τον κτιστην και ασυνκ[ρι]τον και φιλοπατριν η κρατιστη βουλη και ο ιερωτατος δημος ευνοιας χαριν.	N. Black Sea — Chersonesos — mid. 2nd-3rd c. AD — IosPE I 200	1683	North Shore of the Black Sea	1684	unspecified subregion	 mid. 2nd-3rd c. AD 	126.0	275.0	0.0
1735	ορος τεμενος επονυμον αθενηθ[ε]ν.	Aeg.Isl. — Samos: Chora — 439-425? a. — Bull.Éc.Fr.Ath. 11.1871.231,10	1701	Attica (IG I-III)	1700	Attica	 439-425? a. 	-439.0	-425.0	1.0
149646	ερπνη αμμιας τροφος και ναννη πετρωνιας μητηρ δε ερμου και καρποφο[ρ]ου ζησασα λ ετη.	Makedonia (Bottiaia) — Beroia — 2nd c. AD — SEG 12.321	1692	Northern Greece (IG X)	1485	Macedonia 	 2nd c. AD 	101.0	200.0	0.0
146575	[νομει τρεφομενω ημερησια] [μουλιωνι τρεφομενω ημερησια] [μουλιατρω καρθρων και ονυχισμου] [κατα κτηνος] 0 [αποπληρωσεως και καθαρσεως καθ] [εν εκαστον κτηνος] [κουρει καθ εκαστον ανθρωπον] [κουρει προβατων καθ εκαστον προβατον] [-------------------] [-------------------] [-------------------] 0 [-------------------] [-------------------] 0 [----------------------] [----------------------] [----------------------] [-------------------] [-------------------].	Boiotia — Lebadeia — 301 AD	1698	Central Greece (IG VII-IX)	1691	Megaris, Oropia, and Boiotia (IG VII) 	 301 AD	301.0	301.0	0.0
286931	τελπ[υλλιος ---] γ ---.	Cil. — Anemourion (Eski Anamur) — ca. 450-500 AD — J. Russell, Mosaic Inscriptions (1987) 82, 21	1702	Asia Minor	1662	Cilicia and Isauria	 ca. 450-500 AD 	450.0	500.0	1.0
310947	ονμιε ζηνωνος χρηστε πασι χαιρε.	Kypros — Amathous — Parekklisia — Rom. Imp. period — LGPN I (1987), p. 194 (date)	1680	Cyprus ([IG XV])	1681	unspecified subregion	 LGPN I (1987), p. 194 (date)	-27.0	284.0	0.0
177970	ωδε κειτε σεβηρα θηγατηρ ιακωβ δηδασκαλου εν ειρη[νη η] κι μη[σις αυτης].	Italia (Apulia) — Venusia (Venosa) — early 5th c. AD — CIL IX 6203 — CIJ I 594	1696	Sicily, Italy, and the West (IG XIV)	1689	Italy, incl. Magna Graecia	 early 5th c. AD 	401.0	450.0	0.0
235245	[ε]πι νικοκλε[ους αρχοντος επι της αιγηιδ]ος δευτερα[ς πρυτανειας ηι νικων θεοδω]ρου πλωθευ[ς εγραμματευεν. μεταγειτνι]ωνος δευτε[ραι μετ εικαδας τριτηι και] [ει]κοστηι τη[ς πρυτανειας εκκλησια των] προεδρων επ[εψηφιζεν ηγιας ηγησιου σο]υνιευς και σ[υνπροεδροι εδοξεν τωι δημ]ωι στρατ[οκλης ευθυδημου διομεευς] [ειπεν ε]πειδ[η ------].	Att. — Athens — stoich. 32 — 302/1 BC	1701	Attica (IG I-III)	1700	Attica	 302/1 BC	-302.0	-301.0	0.0
215195	διονυσιε ασκληπιοδωρου λαοδικευ χρηστε χαιρε.	Delos — Rheneia — late 2nd c. BC	1699	Aegean Islands, incl. Crete (IG XI-[XIII])	1672	Delos (IG XI and ID) 	 late 2nd c. BC	-150.0	-101.0	0.0
222739	βασιλει πτολεμαιωι και βασιλισσηι κλεοπατραι θεοις φιλομητορσι και τωι αδελφωι αυτων πτολεμαιωι τοις εγ βασιλεως πτολεμαιου και βασιλισσης κλεοπατρας θεων επιφανων σατυριων σωκλεους μιλησιος ηγεμων επ ανδρω[ν] ο τεταγμενος επι του εν λεοντων πολει χαρακος.	Eg. — Leontopolis [Leo.] (Tell el-Moqdam) — 172-169 BC — Coll.Froehner I (1936) 117,073	1695	Egypt, Nubia and Cyrenaïca	1694	Egypt and Nubia	 172-169 BC 	-172.0	-169.0	0.0
273210	ασκληπιαδης τιτου και η γλυκυτατη αυτου γυνη πονπεια η φιλανδρος το μνημιον κατεσκευασαν εαυτοις και τεκνοις μνημης χαριν. ενορκιζομεθα δε το μεγεθος του θεου και τους καταχθονιους δαιμονας μηδενα αδικησαι το μνημιον μηδε αλλον τινα τεθηναι χωρις γαιου και ασκληπιαδου τεκνων. ουκ ημην εγενομην ουκ εσομαι ου μελι μοι ο βιος ταυτα. χαιρετε παροδειται.	Phryg., Ctr. — Brouzos (Karasandıklı) — 125-150 AD?	1702	Asia Minor	1679	Phrygia	 125-150 AD?	125.0	150.0	1.0
349832	[--------------------------] [-------]ς τα προς τους νο[------------] μοι π[ερι τ]ον παρ υμειν λιμενα γ[ι]ν[---------- της] δε και [επι]κλησεως της επι με περι ελ[---------- εκ] γης καρπου λογων επιγνους ουν [-------------] υποτετ[αχα τ]η συνπαθια χρησαμ[εν]ος [----------] ρος υμιν [-----]τον εφ ημ[ερ]αις απο[--------] [--] [--------- ερρ]ωσθε.	Kos Isl. — Kos — 1st c. AD — M. Segre, Iscr. di Cos (1993) ED 27 (a)	1699	Aegean Islands, incl. Crete (IG XI-[XIII])	1646	Cos and Calymna (IG XII,4)	 1st c. AD 	1.0	100.0	0.0
331751	μνησθης αρμοδι βουλευτα πανορμειτων της κεφαληνιας ευσεβιας ετυμης ο θεος.	Italia — Pontia (Ponza) — ca. 350-400 AD — IG XIV 895 — Le isole Pontine attraverso i tempi (1986) 81ff.	1696	Sicily, Italy, and the West (IG XIV)	1689	Italy, incl. Magna Graecia	 ca. 350-400 AD 	350.0	400.0	1.0
5553	αυτοκρατορα καισαρα νερουαν τραιανον σεβαστον γερμανικον δακικον θεον θεου υιον ανεικητον η εξ αρειου παγου βουλη και η βουλη των 0 και ο δημος ο αθηναιων τον ιδιον ευεργετην και σωτηρα της οικουμενης.	Att. — 113 p.	1701	Attica (IG I-III)	1700	Attica	 113 p.	113.0	113.0	0.0
270719	φιλισκος εαυ[τ]ω ζων αμιον δαμα[λιδι] κε [--] αμιω μνημης χαριν.	Phryg., N. — Aizanoi (Çavdarhisar) — ca. 175 AD	1702	Asia Minor	1679	Phrygia	 ca. 175 AD	175.0	175.0	1.0
312188	οι αδελφοι πρεισκαι τη μητ[ρι] [μνημης] [χαριν].	Cilicia, E. — Anazarbos (Anavarza Kalesi) — 1st c. AD	1702	Asia Minor	1662	Cilicia and Isauria	 1st c. AD	1.0	100.0	0.0
332258	ελευσινου ζη[σας ---].	Italia — Roma — 458 AD — ICUR II 4943, l. 2 — RPAA 62 (1989/90) 193, 4943 (A. Ferrua)	1696	Sicily, Italy, and the West (IG XIV)	1689	Italy, incl. Magna Graecia	 458 AD 	458.0	458.0	0.0
227899	δωσθιων σαββαταιου ορφανε μεικρε τραυματια χαιρε. ως ετων τριων ετους παχων.	Eg. — Leontopolis [Hel.] (Tell el-Yahūdīya) — 1 BC — SB 3.6986	1695	Egypt, Nubia and Cyrenaïca	1694	Egypt and Nubia	 1 BC 	-1.0	-1.0	0.0
293482	ονησιππος αιτιο κηφισιευς βασιλευς ανεθηκε[ν]. ο[ιδ]ε ονησιππο βασιλευοντος χορηγοντες ενικων κωμωιδων σωσικρατης εχορηγε χαλκοπωλης νικοχαρης εδιδασκε. τραγωιδων στρατονικος εχορηγε στρατωνος μεγακλειδης εδιδασκε.	Att. — Athens — ca. 400 BC	1701	Attica (IG I-III)	1700	Attica	 ca. 400 BC	-400.0	-400.0	1.0
268156	ιουλιος κλαυδιος φιλορωμαιος ιουλιω κλαυδιω απολλωνιω τω χρηστω.	Gal., N. — Koçhisar — Rom. Imp. period	1702	Asia Minor	1663	Galatia	 Rom. Imp. period	-27.0	284.0	0.0
186037	αγαθα τυχα. α βουλα και ο δαμος ετειμασαν αυρηλιον ποπλιον γυμνασιαρχικου γυμνασιαρχησαντα των εφηβων ενδοξως και επιφανως αλειψαντα τε φιλοτειμως πλειοσιν αμεραις ταν πατριδα και ιεροποιησαντα επιφανως αρκεσθεντα μεν τα δια του ψαφισματος τειμα ταν δε κατασκευαν του ανδριαντος εκ των ιδιων ποιησαμενον.	Kos Isl. — Kos — 2nd c. AD — Paton-Hicks 107 — SGDI III,1 3663	1699	Aegean Islands, incl. Crete (IG XI-[XIII])	1646	Cos and Calymna (IG XII,4)	 2nd c. AD 	101.0	200.0	0.0
278345	χαιρε αρχελαος απολλωνιου.	Bith. — Nikaia (Iznik): Tekeciler/Gölpazari — 1st c. AD	1702	Asia Minor	1666	Bithynia	 1st c. AD	1.0	100.0	0.0
335537	αντωνεινος μαιορος ερμη ορθαννη.	Epidauria — Epidauros: Asklepieion — mid 2nd c. AD — IG IV²,1 514	1690	Peloponnesos (IG IV-[VI])	1643	Epidauria (IG IV²,1) 	 mid 2nd c. AD 	126.0	175.0	0.0
